county,color
"Houston, AL",#54CC84
"Henry, AL",#2FC169
"Geneva, AL",#0CA44D
"Dale, AL",#2FC169
"Coffee, AL",#54CC84
"Covington, AL",#54CC84
"Mobile, AL",#2FC169
"Baldwin, AL",#2FC169
"Escambia, AL",#2FC169
"Conecuh, AL",#54CC84
"Washington, AL",#2FC169
"Choctaw, AL",#0CA44D
"Clarke, AL",#0CA44D
"Monroe, AL",#2FC169
"Wilcox, AL",#54CC84
"Butler, AL",#2FC169
"Crenshaw, AL",#54CC84
"Pike, AL",#2FC169
"Bullock, AL",#2FC169
"Macon, AL",#2FC169
"Lowndes, AL",#2FC169
"Montgomery, AL",#2FC169
"Elmore, AL",#2FC169
"Autauga, AL",#78D79E
"Dallas, AL",#2FC169
"Marengo, AL",#2FC169
"Sumter, AL",#FFFFFF
"Perry, AL",#2FC169
"Chilton, AL",#0CA44D
"Coosa, AL",#54CC84
"Tallapoosa, AL",#FFFFFF
"Clay, AL",#0CA44D
"Talladega, AL",#FFFFFF
"Shelby, AL",#2FC169
"Bibb, AL",#2FC169
"Hale, AL",#2FC169
"Greene, AL",#0CA44D
"Pickens, AL",#2FC169
"Tuscaloosa, AL",#0CA44D
"Jefferson, AL",#2FC169
"Walker, AL",#2FC169
"Lamar, AL",#2FC169
"Fayette, AL",#2FC169
"Franklin, AL",#2FC169
"Marion, AL",#2FC169
"Winston, AL",#54CC84
"Cullman, AL",#2FC169
"Blount, AL",#2FC169
"St. Clair, AL",#2FC169
"Calhoun, AL",#0CA44D
"Etowah, AL",#2FC169
"Marshall, AL",#2FC169
"Morgan, AL",#2FC169
"Lawrence, AL",#2FC169
"Colbert, AL",#54CC84
"Lauderdale, AL",#2FC169
"Limestone, AL",#2FC169
"Madison, AL",#2FC169
"Jackson, AL",#2FC169
"DeKalb, AL",#2FC169
"Cherokee, AL",#0CA44D
"Cleburne, AL",#0CA44D
"Randolph, AL",#0F934A
"Chambers, AL",#0CA44D
"Lee, AL",#2FC169
"Russell, AL",#2FC169
"Barbour, AL",#2FC169
"North Slope, AK",#54CC84
"Northwest Arctic, AK",#54CC84
"Prince of Wales-Hyder, AK",#0F934A
"Ketchikan Gateway, AK",#2FC169
"Wrangell, AK",#54CC84
"Petersburg, AK",#2FC169
"Sitka, AK",#2FC169
"Haines, AK",#2FC169
"Juneau, AK",#2FC169
"Skagway, AK",#2FC169
"Hoonah-Angoon, AK",#54CC84
"Yakutat, AK",#2FC169
"Aleutians West, AK",#0F934A
"Aleutians East, AK",#0F934A
"Kodiak Island, AK",#2FC169
"Bristol Bay, AK",#2FC169
"Dillingham, AK",#2FC169
"Lake and Peninsula, AK",#2FC169
"Kenai Peninsula, AK",#2FC169
"Anchorage, AK",#0F934A
"Chugach, AK",#0CA44D
"Copper River, AK",#54CC84
"Matanuska-Susitna, AK",#2FC169
"Southeast Fairbanks, AK",#2FC169
"Fairbanks North Star, AK",#2FC169
"Denali, AK",#2FC169
"Bethel, AK",#2FC169
"Kusilvak, AK",#0CA44D
"Nome, AK",#54CC84
"Yukon-Koyukuk, AK",#2FC169
"Apache, AZ",#0F934A
"Cochise, AZ",#54CC84
"Coconino, AZ",#54CC84
"Gila, AZ",#0CA44D
"Greenlee, AZ",#0CA44D
"Graham, AZ",#0CA44D
"La Paz, AZ",#2FC169
"Maricopa, AZ",#2FC169
"Mohave, AZ",#2FC169
"Navajo, AZ",#2FC169
"Pima, AZ",#2FC169
"Pinal, AZ",#2FC169
"Santa Cruz, AZ",#2FC169
"Yavapai, AZ",#2FC169
"Yuma, AZ",#2FC169
"Chicot, AR",#0CA44D
"Ashley, AR",#78D79E
"Pope, AR",#2FC169
"Newton, AR",#78D79E
"Madison, AR",#2FC169
"Franklin, AR",#2FC169
"Johnson, AR",#2FC169
"Logan, AR",#2FC169
"Yell, AR",#2FC169
"Perry, AR",#2FC169
"Conway, AR",#54CC84
"Faulkner, AR",#2FC169
"Van Buren, AR",#0F934A
"Searcy, AR",#2FC169
"Stone, AR",#FFFFFF
"Cleburne, AR",#0CA44D
"White, AR",#2FC169
"Independence, AR",#2FC169
"Jackson, AR",#2FC169
"Woodruff, AR",#54CC84
"St. Francis, AR",#2FC169
"Crittenden, AR",#54CC84
"Cross, AR",#54CC84
"Poinsett, AR",#2FC169
"Mississippi, AR",#2FC169
"Craighead, AR",#54CC84
"Izard, AR",#2FC169
"Lawrence, AR",#2FC169
"Sharp, AR",#2FC169
"Greene, AR",#0CA44D
"Clay, AR",#0CA44D
"Randolph, AR",#0F934A
"Fulton, AR",#2FC169
"Baxter, AR",#2FC169
"Marion, AR",#2FC169
