county,color,id
"Houston, AL",#54CC84,c01069
"Henry, AL",#2FC169,c01067
"Geneva, AL",#0CA44D,c01061
"Dale, AL",#2FC169,c01045
"Coffee, AL",#54CC84,c01031
"Covington, AL",#54CC84,c01039
"Mobile, AL",#2FC169,c01097
"Baldwin, AL",#2FC169,c01003
"Escambia, AL",#2FC169,c01053
"Conecuh, AL",#54CC84,c01035
"Washington, AL",#2FC169,c01129
"Choctaw, AL",#0CA44D,c01023
"Clarke, AL",#0CA44D,c01025
"Monroe, AL",#2FC169,c01099
"Wilcox, AL",#54CC84,c01131
"Butler, AL",#2FC169,c01013
"Crenshaw, AL",#54CC84,c01041
"Pike, AL",#2FC169,c01109
"Bullock, AL",#2FC169,c01011
"Macon, AL",#2FC169,c01087
"Lowndes, AL",#2FC169,c01085
"Montgomery, AL",#2FC169,c01101
"Elmore, AL",#2FC169,c01051
"Autauga, AL",#78D79E,c01001
"Dallas, AL",#2FC169,c01047
"Marengo, AL",#2FC169,c01091
"Sumter, AL",#FFFFFF,c01119
"Perry, AL",#2FC169,c01105
"Chilton, AL",#0CA44D,c01021
"Coosa, AL",#54CC84,c01037
"Tallapoosa, AL",#FFFFFF,c01123
"Clay, AL",#0CA44D,c01027
"Talladega, AL",#FFFFFF,c01121
"Shelby, AL",#2FC169,c01117
"Bibb, AL",#2FC169,c01007
"Hale, AL",#2FC169,c01065
"Greene, AL",#0CA44D,c01063
"Pickens, AL",#2FC169,c01107
"Tuscaloosa, AL",#0CA44D,c01125
"Jefferson, AL",#2FC169,c01073
"Walker, AL",#2FC169,c01127
"Lamar, AL",#2FC169,c01075
"Fayette, AL",#2FC169,c01057
"Franklin, AL",#2FC169,c01059
"Marion, AL",#2FC169,c01093
"Winston, AL",#54CC84,c01133
"Cullman, AL",#2FC169,c01043
"Blount, AL",#2FC169,c01009
"St. Clair, AL",#2FC169,c01115
"Calhoun, AL",#0CA44D,c01015
"Etowah, AL",#2FC169,c01055
"Marshall, AL",#2FC169,c01095
"Morgan, AL",#2FC169,c01103
"Lawrence, AL",#2FC169,c01079
"Colbert, AL",#54CC84,c01033
"Lauderdale, AL",#2FC169,c01077
"Limestone, AL",#2FC169,c01083
"Madison, AL",#2FC169,c01089
"Jackson, AL",#2FC169,c01071
"DeKalb, AL",#2FC169,c01049
"Cherokee, AL",#0CA44D,c01019
"Cleburne, AL",#0CA44D,c01029
"Randolph, AL",#0F934A,c01111
"Chambers, AL",#0CA44D,c01017
"Lee, AL",#2FC169,c01081
"Russell, AL",#2FC169,c01113
"Barbour, AL",#2FC169,c01005
"North Slope, AK",#54CC84,c02185
"Northwest Arctic, AK",#54CC84,c02188
"Prince of Wales-Hyder, AK",#0F934A,c02198
"Ketchikan Gateway, AK",#2FC169,c02130
"Wrangell, AK",#54CC84,c02275
"Petersburg, AK",#2FC169,c02195
"Sitka, AK",#2FC169,c02220
"Haines, AK",#2FC169,c02100
"Juneau, AK",#2FC169,c02110
"Skagway, AK",#2FC169,c02230
"Hoonah-Angoon, AK",#54CC84,c02105
"Yakutat, AK",#2FC169,c02282
"Aleutians West, AK",#0F934A,c02016
"Aleutians East, AK",#0F934A,c02013
"Kodiak Island, AK",#2FC169,c02150
"Bristol Bay, AK",#2FC169,c02060
"Dillingham, AK",#2FC169,c02070
"Lake and Peninsula, AK",#2FC169,c02164
"Kenai Peninsula, AK",#2FC169,c02122
"Anchorage, AK",#0F934A,c02020
"Chugach, AK",#0CA44D,c02063
